MolLogP,MolWt,NumRotatableBonds,AromaticProportion,logS
2.8967,284.583,9,0.4,-5.85
0.7332,489.206,7,0.0,-1.66
2.0147,106.498,8,0.2,-1.14
1.1049,57.626,3,0.4,-1.22
0.7852,396.571,6,0.0,-5.23
4.9548,413.22,1,0.0,-0.58
1.9506,104.093,5,0.4,-1.97
4.1444,169.512,7,0.0,-0.61
1.6459,57.899,6,0.2,-3.32
3.5668,181.989,6,0.6,-3.38
3.921,397.914,7,0.8,-1.29
3.1804,283.082,6,0.6,-5.44
2.6221,206.643,4,0.8,-2.87
2.3533,217.283,6,0.6,-0.98
2.0699,50.609,9,0.2,-1.02
4.6829,184.91,2,0.6,-0.26
4.2378,340.906,4,0.6,-1.81
4.8426,488.387,6,0.2,-4.75
1.0593,431.177,8,0.0,-5.88
3.7889,60.618,1,0.6,-3.12
4.7225,454.352,3,0.0,-2.92
1.3155,402.439,6,0.6,-4.56
0.7992,401.169,0,0.0,-5.25
3.835,256.098,1,0.4,-2.48
3.0851,229.102,8,0.4,-1.41
4.2882,186.312,9,0.0,-0.04
1.129,79.563,6,0.2,-1.45
4.0787,152.706,9,0.6,-1.24
1.4073,160.972,6,0.8,-2.3
1.2365,267.835,5,0.8,-0.08
1.2392,386.35,2,0.4,-2.16
4.1656,263.214,9,0.6,-0.84
3.4934,76.03,2,0.2,-0.33
2.8538,481.005,1,0.2,-0.42
2.1147,474.226,5,0.0,-3.71
4.4474,403.335,3,0.4,-5.53
2.266,496.098,4,0.2,-4.97
4.1747,295.017,2,0.0,-5.64
2.4761,483.246,5,0.6,-5.37
2.1962,84.022,2,0.6,-4.89
2.5821,214.556,7,0.2,-3.95
1.8562,151.422,8,0.0,-2.74
3.8642,138.125,3,0.4,-1.73
2.7622,113.361,8,0.4,-4.73
1.545,330.086,6,0.6,-1.96
4.5481,401.595,2,0.2,-1.77
2.2275,310.234,6,0.6,-2.65
2.946,116.133,0,0.8,-0.58
4.5791,415.006,2,0.2,-5.33
3.3091,336.18,5,0.8,-4.94
1.026,224.675,3,0.2,-3.43
4.7292,353.359,6,0.2,-5.24
3.3247,166.957,2,0.4,-2.6
2.0071,205.336,0,0.0,-3.61
1.1267,462.869,8,0.0,-4.29
4.0731,180.727,5,0.4,-4.98
3.2903,261.495,7,0.6,-3.99
2.9006,450.564,2,0.8,-2.35
4.5225,368.475,7,0.6,-2.55
4.0487,77.991,1,0.0,-5.02
1.1825,116.286,3,0.6,-5.25
1.9027,53.529,2,0.6,-5.84
1.6182,333.915,9,0.8,-5.93
3.8478,251.453,0,0.8,-0.72
0.6509,110.424,6,0.8,-5.73
3.0645,481.07,9,0.4,-1.61
3.9311,288.347,1,0.6,-0.77
4.4454,158.852,3,0.2,-5.41
2.0394,275.272,8,0.8,-3.38
4.1957,355.829,5,0.0,-0.23
0.9978,84.308,7,0.0,-1.0
4.309,173.617,1,0.0,-3.06
1.0737,413.134,6,0.6,-1.42
2.2878,256.849,5,0.4,-1.0
4.0878,295.96,8,0.4,-3.91
1.1746,244.767,6,0.8,-0.65
1.5316,69.755,0,0.8,-3.18
3.7501,124.587,7,0.2,-2.83
3.7402,250.494,9,0.2,-0.0
3.3852,144.133,2,0.8,-0.94
3.6228,72.491,1,0.8,-3.83
2.9423,429.642,2,0.4,-5.94
1.6331,491.537,5,0.6,-2.24
2.0556,406.914,2,0.2,-1.78
1.3172,434.203,9,0.8,-2.1
4.588,158.89,4,0.6,-0.19
3.1253,482.282,5,0.4,-0.82
2.3038,138.617,7,0.0,-3.31
2.579,478.143,6,0.8,-5.62
4.7628,497.669,7,0.6,-3.14
1.1901,370.275,2,0.0,-1.86
3.138,491.515,3,0.6,-2.35
2.7765,306.293,5,0.6,-2.77
3.2515,166.794,6,0.4,-3.19
0.5815,246.648,8,0.6,-4.24
4.4246,317.102,0,0.4,-4.34
4.6945,82.887,7,0.8,-3.0
3.0431,330.054,7,0.0,-5.04
3.6349,491.53,5,0.0,-3.96
4.6512,135.548,3,0.0,-4.06
3.6826,406.668,2,0.6,-2.48
1.1864,458.554,2,0.6,-5.6
3.0933,474.666,5,0.8,-1.02
3.2302,482.061,7,0.6,-2.63
2.4086,284.657,6,0.4,-1.98
3.814,489.789,0,0.8,-1.78
4.7047,390.79,5,0.2,-4.25
4.6651,122.752,6,0.8,-3.18
2.5288,264.605,6,0.4,-0.26
1.0096,373.249,8,0.6,-1.4
4.9318,161.303,9,0.6,-0.18
4.275,338.277,4,0.6,-1.52
1.061,349.97,0,0.0,-4.95
4.6438,123.215,1,0.4,-5.61
4.4145,304.288,3,0.4,-2.53
2.8348,397.232,4,0.8,-3.85
3.1607,274.503,8,0.4,-4.35
2.2955,55.446,0,0.8,-1.16
0.7464,54.067,2,0.4,-3.8
2.0084,210.663,4,0.4,-4.1
4.1128,466.787,2,0.6,-0.9
0.5208,152.905,3,0.4,-0.92
2.0007,335.464,2,0.8,-3.86
2.2918,149.934,3,0.6,-1.01
2.9183,194.751,0,0.4,-0.9
4.6394,431.619,7,0.0,-3.46
2.0586,377.988,3,0.4,-5.6
2.0613,92.93,6,0.2,-5.99
3.8188,242.916,1,0.6,-2.86
2.535,63.126,1,0.2,-3.94
1.5107,266.401,5,0.2,-0.02
2.536,348.095,1,0.0,-1.37
1.1339,103.326,5,0.0,-1.43
1.2937,179.998,1,0.2,-0.27
2.7427,229.026,3,0.8,-0.67
2.3852,463.789,6,0.6,-4.09
4.6168,496.965,7,0.6,-5.0
2.1308,70.21,2,0.6,-1.52
3.1126,392.454,8,0.2,-3.73
3.3452,217.276,1,0.8,-3.16
0.5589,226.606,7,0.0,-2.22
3.4859,389.419,7,0.2,-0.55
1.3012,463.292,3,0.4,-3.49
4.8248,477.918,0,0.0,-1.3
1.169,309.705,0,0.6,-4.39
2.3658,210.705,1,0.2,-1.81
0.8841,404.397,8,0.6,-5.99
4.9859,162.951,1,0.4,-0.77
2.7599,303.833,1,0.0,-5.82
3.1792,211.36,5,0.6,-1.72
0.8018,345.484,6,0.2,-5.72
3.8748,158.18,6,0.4,-4.4
1.4446,136.217,8,0.0,-3.02
4.5412,463.208,5,0.6,-3.48
1.4231,95.812,7,0.6,-4.85
1.3581,277.681,5,0.2,-4.0
0.6645,149.384,1,0.8,-1.63
2.6243,67.518,0,0.8,-1.98
3.0418,66.208,4,0.6,-5.57
0.7957,128.85,8,0.6,-1.52
3.9899,440.047,7,0.2,-5.68
2.5398,177.115,3,0.6,-2.74
2.8598,477.707,4,0.0,-4.44
2.4834,311.73,4,0.0,-2.47
2.3034,246.476,5,0.8,-4.43
3.0184,311.04,2,0.6,-0.09
1.1986,282.514,4,0.4,-4.14
1.3187,391.449,1,0.2,-4.55
4.378,177.123,9,0.6,-4.33
4.7575,208.873,0,0.0,-0.62
2.1799,452.342,0,0.0,-2.18
1.7184,475.905,9,0.0,-1.62
3.398,451.651,6,0.4,-0.49
2.3393,238.752,1,0.6,-0.53
0.6142,401.164,3,0.0,-1.57
1.2027,264.351,4,0.6,-4.81
3.7219,273.893,6,0.2,-0.94
3.4652,142.106,1,0.6,-4.78
0.6219,316.009,5,0.8,-1.54
1.4989,133.761,0,0.6,-1.89
1.5398,199.204,6,0.8,-1.45
3.5235,434.764,8,0.8,-2.8
0.5887,143.184,4,0.4,-2.17
0.9685,82.021,4,0.6,-0.28
4.0996,81.053,3,0.8,-5.39
1.3035,473.353,2,0.2,-4.15
3.4374,278.114,8,0.2,-2.33
1.5718,234.235,4,0.8,-0.22
0.9475,414.895,7,0.6,-5.43
1.5943,426.122,8,0.2,-5.86
3.7502,199.486,4,0.4,-5.67
4.3506,362.128,9,0.6,-5.69
4.236,397.005,8,0.4,-0.55
2.2873,344.593,1,0.6,-1.67
3.5064,118.218,8,0.6,-1.94
1.4224,444.147,3,0.6,-2.86
1.8192,292.593,5,0.4,-1.31
4.5335,177.113,5,0.6,-5.07
0.5585,241.353,5,0.6,-3.65
0.8848,66.907,1,0.6,-3.06
1.4355,107.54,6,0.2,-5.34
0.6194,394.496,5,0.4,-3.48
1.3165,50.005,0,0.8,-4.1
3.1237,237.455,1,0.0,-5.79
2.3964,285.13,6,0.2,-5.18
4.517,74.585,0,0.4,-1.42
4.1785,487.885,0,0.8,-5.89
2.0382,151.756,0,0.0,-0.39
1.6674,186.889,7,0.2,-5.48
2.2086,186.774,3,0.0,-1.2
3.1563,153.687,3,0.6,-0.61
1.7063,50.663,1,0.2,-0.35
3.3087,378.205,0,0.2,-0.8
2.3424,485.08,9,0.4,-4.27
2.9842,150.932,8,0.8,-4.0
2.4626,348.371,6,0.4,-3.44
1.8251,383.853,3,0.0,-5.16
4.768,431.791,5,0.4,-5.87
3.9362,240.183,1,0.8,-0.79
1.1305,186.319,6,0.6,-2.68
4.4081,196.383,1,0.8,-2.35
2.6934,370.68,9,0.8,-0.44
4.5255,417.551,7,0.0,-2.01
4.0993,131.726,7,0.6,-1.85
2.4135,216.923,0,0.2,-1.28
0.6011,455.873,7,0.4,-5.3
1.709,413.012,1,0.2,-3.84
2.9374,493.186,5,0.2,-0.19
3.3507,389.412,0,0.8,-0.46
1.6605,226.938,4,0.2,-0.7
1.1271,315.787,6,0.8,-3.29
4.2572,347.456,9,0.0,-0.86
4.9298,85.305,0,0.0,-5.71
2.8656,295.024,1,0.8,-5.11
1.2726,369.194,6,0.6,-3.52
1.7254,125.295,5,0.6,-3.1
0.5828,401.284,2,0.2,-4.42
4.6143,312.698,9,0.4,-3.86
1.0299,478.5,1,0.6,-5.02
3.0943,69.09,9,0.6,-3.07
1.7332,169.397,3,0.4,-1.24
2.9938,320.699,2,0.8,-2.03
3.4314,183.452,6,0.6,-5.35
4.2338,371.491,7,0.8,-3.07
1.4289,391.552,1,0.6,-1.81
0.5495,96.132,9,0.6,-2.82
1.116,281.235,6,0.0,-3.65
4.5501,279.001,7,0.2,-2.27
4.4325,216.176,5,0.8,-0.19
3.1884,469.816,5,0.2,-5.43
3.2023,422.378,9,0.0,-3.66
3.4927,363.744,0,0.2,-3.56
1.2892,371.447,3,0.2,-2.54
4.6149,257.772,0,0.8,-5.09
2.3845,464.448,3,0.8,-4.94
2.2241,362.568,1,0.4,-4.29
2.8351,378.041,4,0.0,-0.26
0.7113,437.761,9,0.6,-1.6
1.2483,173.332,8,0.6,-2.03
3.8212,413.182,9,0.8,-1.1
0.8726,137.858,2,0.4,-5.23
3.2142,205.404,7,0.2,-0.84
1.6041,201.025,2,0.4,-2.43
2.2518,490.336,5,0.8,-3.99
1.7991,435.442,3,0.6,-1.1
2.1005,365.526,7,0.6,-1.18
3.7357,377.176,5,0.2,-0.93
1.837,302.933,7,0.6,-5.31
3.0488,476.191,0,0.6,-0.18
2.6422,273.316,5,0.2,-0.24
3.4865,221.233,0,0.4,-3.86
4.7157,123.366,0,0.2,-5.6
3.7966,403.793,7,0.2,-5.0
1.4672,380.5,6,0.0,-0.04
0.6403,222.96,2,0.2,-2.62
1.6802,61.337,5,0.4,-3.86
3.1779,427.549,8,0.0,-4.27
0.7314,55.138,6,0.2,-4.46
2.7336,366.665,2,0.8,-2.02
3.1858,486.616,5,0.4,-3.48
2.0041,246.948,3,0.6,-0.21
3.9691,155.738,2,0.4,-1.9
0.9797,367.192,8,0.6,-1.25
0.8381,417.708,9,0.0,-4.24
3.7768,295.894,1,0.8,-5.52
2.7297,485.166,0,0.0,-3.07
3.5978,73.251,1,0.6,-4.11
2.4567,277.158,6,0.2,-4.79
1.6088,373.304,9,0.6,-0.28
4.186,438.188,0,0.4,-3.34
4.0974,130.665,5,0.4,-4.95
3.6261,410.002,6,0.0,-4.81
1.7247,298.718,8,0.6,-4.32
3.156,228.449,7,0.8,-0.0
2.1244,109.272,5,0.8,-4.39
0.9121,439.383,2,0.0,-4.03
4.6279,120.773,7,0.2,-2.04
1.1157,189.405,6,0.8,-4.24
4.7761,180.52,2,0.4,-4.71
2.507,442.136,8,0.6,-5.05
1.3331,352.716,1,0.8,-4.12
2.9386,408.507,2,0.8,-5.36
4.4283,162.711,1,0.4,-5.89
3.795,331.193,0,0.4,-1.17
4.1295,307.286,3,0.2,-5.17
3.4645,424.774,4,0.6,-1.34
3.6152,457.739,5,0.2,-1.21
4.3214,55.471,4,0.2,-2.77
1.6235,353.309,0,0.2,-4.14
2.7024,73.326,2,0.0,-5.13
1.4954,296.986,0,0.6,-1.58
4.9445,179.435,4,0.6,-2.39
4.7483,188.049,4,0.4,-2.07
0.6774,208.831,5,0.2,-5.95
3.6751,329.582,7,0.8,-0.43
4.6636,200.322,9,0.0,-5.6
1.3126,379.715,0,0.6,-3.8
3.0558,232.037,3,0.8,-3.58
4.6197,80.759,9,0.4,-5.99
0.6528,402.692,0,0.4,-3.02
3.6384,178.591,8,0.8,-1.48
1.8381,244.745,6,0.2,-1.06
4.6598,358.45,6,0.4,-0.72
4.8698,199.605,4,0.4,-3.07
4.7492,75.464,6,0.2,-2.22
2.634,218.264,1,0.8,-5.52
4.3792,475.002,3,0.8,-3.07
4.3005,338.78,6,0.6,-5.07
1.936,352.166,2,0.0,-3.78
4.2301,334.527,1,0.0,-4.02
0.6665,139.546,9,0.6,-3.46
3.1832,238.25,1,0.0,-2.57
1.535,387.923,0,0.6,-0.58
1.0426,95.618,4,0.4,-3.63
0.8463,175.034,5,0.6,-0.11
3.6333,174.344,5,0.4,-1.45
2.0294,244.409,8,0.4,-2.93
3.7615,491.166,3,0.2,-2.14
0.7941,80.376,0,0.2,-5.39
1.9188,283.415,5,0.4,-0.93
2.9277,130.714,4,0.6,-2.51
4.0583,486.804,9,0.6,-0.08
1.9344,100.987,5,0.6,-2.18
3.3165,231.62,2,0.8,-1.0
4.4869,382.048,1,0.2,-1.2
3.2714,367.049,5,0.0,-3.93
1.5483,240.228,0,0.2,-4.44
0.6098,205.936,6,0.6,-3.42
4.4154,228.926,6,0.4,-3.2
0.5957,168.924,9,0.8,-4.56
4.4362,142.4,6,0.4,-0.63
2.8802,267.368,9,0.8,-2.74
4.7258,170.84,0,0.8,-0.13
4.0945,179.358,3,0.0,-1.14
4.9907,345.54,6,0.4,-2.67
2.0782,485.842,8,0.6,-0.32
3.9523,321.637,4,0.2,-2.97
2.3087,84.641,1,0.4,-0.68
2.6594,84.013,6,0.6,-3.85
3.3238,478.14,9,0.2,-3.73
4.4315,183.781,0,0.6,-3.49
4.9284,91.43,6,0.6,-2.72
3.9572,319.57,5,0.0,-2.68
2.38,330.642,6,0.4,-3.02
2.3961,341.827,9,0.2,-4.16
3.8191,170.331,2,0.6,-0.44
1.5745,56.8,2,0.0,-2.47
0.9971,484.257,6,0.8,-3.55
2.0958,162.902,1,0.4,-2.09
1.7926,354.212,0,0.0,-1.39
1.8334,367.983,8,0.4,-0.24
1.5512,324.503,8,0.4,-3.0
0.6894,190.808,6,0.4,-5.33
0.5804,171.993,6,0.4,-3.36
4.9448,318.951,2,0.4,-3.13
2.425,439.743,9,0.0,-0.62
2.2295,476.03,1,0.0,-3.63
3.5584,97.658,6,0.6,-0.28
1.4821,119.673,8,0.4,-3.09
4.7748,475.131,0,0.2,-0.16
4.0386,381.441,3,0.8,-5.95
0.9023,447.347,5,0.2,-0.61
2.3791,141.185,6,0.6,-0.41
4.456,314.414,9,0.2,-0.23
4.7513,365.513,6,0.0,-5.92
2.6033,356.05,9,0.8,-4.97
3.2604,233.668,1,0.2,-2.08
1.2517,56.928,3,0.6,-5.85
4.9603,312.317,4,0.2,-5.62
1.5425,163.896,0,0.6,-4.67
4.7423,252.614,0,0.8,-2.93
3.4234,480.911,9,0.0,-2.72
3.2348,229.566,2,0.8,-5.79
2.8071,427.911,9,0.4,-4.98
1.538,134.843,2,0.6,-3.0
1.2944,352.607,7,0.4,-2.44
1.4922,489.653,8,0.8,-5.11
1.339,95.852,0,0.0,-3.61
4.0081,53.744,1,0.2,-0.57
2.0756,245.112,9,0.8,-0.01
0.7603,91.681,1,0.6,-0.08
4.861,386.773,3,0.0,-0.71
4.477,461.547,1,0.4,-3.63
4.6749,245.309,6,0.4,-1.88
4.9771,166.42,8,0.4,-3.5
1.2825,245.481,6,0.2,-2.11
2.2831,375.552,5,0.6,-4.14
3.9121,54.074,9,0.2,-2.36
3.6321,315.254,0,0.6,-2.86
1.1925,325.981,9,0.8,-5.85
4.1712,336.96,8,0.4,-1.26
1.51,158.91,4,0.2,-5.93
1.5072,371.324,4,0.2,-4.24
2.9164,91.126,5,0.4,-5.96
3.1682,139.672,8,0.6,-3.74
3.1104,444.862,7,0.2,-5.62
0.9117,382.425,7,0.6,-0.52
4.4486,56.185,7,0.2,-3.51
1.6952,161.769,0,0.2,-3.24
1.0828,146.483,0,0.0,-3.9
4.4994,171.863,7,0.0,-2.23
4.8004,161.402,4,0.2,-1.29
4.3796,78.137,8,0.4,-2.11
4.1428,256.523,1,0.8,-1.51
3.4486,379.73,8,0.6,-0.56
2.9789,323.029,7,0.2,-0.82
0.8914,352.792,8,0.2,-1.96
2.338,86.517,3,0.2,-4.71
2.1771,478.171,0,0.2,-2.17
1.6689,427.321,0,0.4,-2.96
3.7554,412.291,4,0.4,-1.7
2.7314,420.343,1,0.2,-1.0
0.8647,469.72,7,0.0,-1.54
1.4908,294.914,9,0.0,-0.92
3.5747,140.127,4,0.0,-5.62
0.8426,327.553,4,0.6,-5.81
4.3304,384.297,1,0.2,-4.45
2.7282,382.063,6,0.4,-0.6
2.6626,284.652,7,0.4,-1.06
3.1658,80.806,9,0.8,-1.9
4.2111,217.001,0,0.8,-1.8
2.0651,464.345,1,0.6,-1.64
3.5511,313.002,9,0.0,-0.34
3.0458,292.249,3,0.4,-1.01
1.7016,170.984,4,0.6,-2.26
4.4538,215.802,1,0.0,-2.01
4.0884,452.906,0,0.4,-4.72
3.463,349.908,8,0.8,-2.06
4.3276,404.324,0,0.4,-3.45
4.4028,254.455,3,0.0,-5.08
3.6876,333.611,1,0.0,-1.16
4.2666,161.773,3,0.4,-2.94
3.6386,367.457,7,0.0,-0.14
3.5606,242.421,7,0.6,-4.31
3.2838,249.145,8,0.6,-3.12
3.8872,342.195,4,0.0,-3.31
1.2137,471.326,6,0.8,-5.28
4.4639,78.803,2,0.4,-3.44
4.4233,421.134,9,0.0,-4.27
0.6316,181.572,3,0.6,-5.04
4.2162,249.764,9,0.6,-4.31
1.0799,59.861,8,0.6,-4.6
2.008,185.471,9,0.8,-1.6
3.8458,276.184,9,0.6,-5.82
1.2234,75.279,0,0.8,-2.3
4.1809,270.993,1,0.4,-1.44
4.2446,467.2,4,0.6,-3.12
2.7836,97.427,2,0.8,-0.41
0.5287,393.998,1,0.6,-1.75
1.7917,234.352,0,0.0,-1.51
3.2762,344.828,9,0.4,-4.82
4.9153,167.106,2,0.4,-1.34
3.3432,121.772,0,0.0,-1.01
1.6691,122.208,0,0.8,-3.83
3.353,81.721,0,0.0,-4.72
2.9299,133.541,7,0.0,-3.69
4.0093,348.899,2,0.8,-1.56
0.9814,446.761,0,0.4,-3.49
3.9246,416.357,6,0.0,-1.58
2.9357,358.31,9,0.4,-5.32
4.8335,99.694,2,0.6,-1.16
2.0384,180.134,7,0.0,-4.48
3.3468,189.413,3,0.8,-4.51
4.6941,162.481,3,0.4,-2.46
0.9613,281.753,4,0.4,-5.58
4.7175,290.999,5,0.4,-5.84
3.5955,210.599,6,0.6,-4.43
0.8053,209.205,3,0.2,-2.77
1.8543,422.85,7,0.2,-0.55
3.6868,405.182,5,0.4,-0.92
0.8031,188.508,0,0.8,-3.06
3.1198,461.205,0,0.0,-5.78
2.0565,478.767,8,0.6,-2.79
3.2941,197.034,9,0.8,-1.77
0.7058,209.491,5,0.0,-3.97
4.4219,277.535,9,0.0,-5.33
4.8807,473.504,7,0.2,-4.33
4.86,444.344,6,0.4,-1.37
3.8734,96.156,5,0.0,-3.89
1.0854,226.729,3,0.4,-1.13
3.9122,299.017,6,0.4,-4.08
0.6106,276.41,8,0.4,-5.02
0.5996,137.238,9,0.2,-3.38
1.9562,436.468,9,0.4,-3.29
2.6989,354.623,6,0.6,-5.9
3.9668,427.059,0,0.8,-5.3
3.5748,436.444,9,0.8,-4.89
2.5066,386.76,8,0.4,-5.32
1.7313,247.645,3,0.4,-3.95
4.9871,324.746,2,0.2,-0.21
2.4178,122.164,3,0.0,-2.94
2.5312,353.14,3,0.0,-2.23
1.2363,130.664,9,0.6,-3.86
4.0766,362.277,1,0.2,-4.06
3.6216,153.319,0,0.2,-5.86
1.4935,102.898,9,0.8,-3.0
0.8707,124.378,0,0.0,-3.1
3.5622,50.896,7,0.0,-5.05
3.4453,373.433,1,0.0,-1.41
1.7297,379.58,9,0.4,-3.04
4.7789,281.72,4,0.6,-3.97
1.1798,122.613,3,0.2,-5.12
2.4455,87.599,7,0.4,-2.69
4.7463,58.608,1,0.6,-1.48
2.3888,124.587,9,0.8,-4.31
3.3734,450.885,8,0.8,-4.69
2.2892,158.692,6,0.8,-2.87
1.734,209.422,6,0.4,-5.07
4.9279,97.405,0,0.0,-2.0
2.342,150.063,1,0.0,-2.37
4.5234,283.651,3,0.0,-5.48
1.5348,323.489,3,0.6,-5.78
1.459,160.409,2,0.8,-2.28
0.6401,75.979,6,0.4,-4.23
3.4325,225.965,7,0.0,-5.48
2.1584,155.392,1,0.4,-1.44
4.3896,148.799,3,0.8,-4.12
2.6294,481.938,2,0.4,-3.24
4.8569,327.335,1,0.8,-4.58
1.3349,300.595,5,0.8,-2.24
4.4088,237.099,3,0.8,-4.19
3.9947,243.025,5,0.6,-0.19
3.9691,293.407,1,0.6,-1.78
4.3015,363.393,3,0.2,-5.18
3.9246,365.966,5,0.0,-3.5
3.318,127.262,4,0.4,-3.69
1.0906,275.051,2,0.0,-2.79
0.6464,235.381,7,0.8,-0.95
4.6438,441.737,6,0.2,-2.5
3.2749,334.139,2,0.8,-5.63
4.0844,289.627,5,0.2,-2.07
2.6669,101.928,3,0.2,-5.95
1.0279,322.537,4,0.8,-1.32
1.0633,102.742,4,0.2,-2.0
3.585,201.743,6,0.2,-4.15
2.4364,114.279,4,0.0,-4.25
1.4024,361.433,2,0.6,-1.21
2.7122,142.813,9,0.2,-1.3
0.7889,226.337,4,0.4,-3.89
3.1189,453.054,6,0.4,-4.21
1.7105,141.942,4,0.6,-2.64
4.089,278.512,4,0.6,-5.95
1.8966,238.672,8,0.4,-5.5
2.5485,58.156,2,0.2,-5.24
0.5523,406.741,5,0.8,-4.89
0.826,81.071,0,0.2,-2.93
2.2662,263.415,9,0.4,-0.05
2.6597,302.305,4,0.4,-2.08
3.2001,332.792,7,0.8,-5.63
1.8125,359.884,4,0.4,-2.85
3.6274,163.973,8,0.2,-3.02
4.3706,54.49,5,0.6,-5.13
4.0093,375.55,7,0.6,-0.48
0.6783,291.045,9,0.0,-3.36
2.6623,426.253,7,0.4,-0.03
0.9722,419.625,2,0.6,-3.48
1.5892,429.497,6,0.8,-2.35
4.94,268.293,6,0.6,-5.37
1.1412,200.133,9,0.2,-3.27
2.745,406.201,5,0.2,-4.57
3.2817,253.082,6,0.8,-0.99
3.6611,132.549,1,0.8,-1.3
3.0184,434.738,8,0.2,-1.05
0.544,447.152,9,0.2,-1.66
1.9691,259.839,9,0.6,-1.0
2.8297,84.065,0,0.2,-4.8
0.8954,224.522,0,0.2,-3.29
2.0778,411.592,2,0.0,-1.85
0.6494,455.798,2,0.2,-2.18
0.8536,141.563,0,0.4,-1.7
2.2862,80.138,6,0.6,-4.65
1.0972,444.808,3,0.2,-5.41
3.0539,225.232,9,0.2,-0.5
3.6026,293.792,1,0.2,-2.64
4.1026,485.63,9,0.4,-5.08
1.4007,79.954,4,0.0,-1.24
1.2537,341.743,5,0.4,-0.51
0.9706,83.347,8,0.6,-4.98
3.3639,218.961,3,0.0,-1.1
3.6791,411.717,1,0.0,-0.4
0.6421,245.063,4,0.0,-0.37
4.713,498.732,2,0.4,-0.52
0.7339,301.577,1,0.8,-2.72
2.9358,194.523,0,0.0,-3.86
3.6908,149.05,9,0.8,-5.96
4.4194,207.734,1,0.0,-5.63
3.7134,217.64,5,0.8,-3.43
4.1078,80.921,7,0.4,-3.6
2.0275,216.308,2,0.6,-4.89
4.1667,258.907,8,0.4,-3.63
0.8605,375.232,8,0.4,-4.95
4.5267,345.528,1,0.8,-0.91
2.9642,368.945,7,0.6,-4.21
4.1778,53.764,9,0.4,-2.41
2.5354,147.95,4,0.0,-2.98
3.3961,347.758,3,0.0,-5.69
2.8688,267.795,9,0.8,-0.35
3.7922,52.391,4,0.4,-2.84
0.8673,412.023,3,0.4,-4.05
0.7716,397.764,7,0.6,-5.05
1.612,296.789,3,0.8,-3.97
1.218,79.908,9,0.6,-5.88
4.423,394.932,5,0.6,-3.82
1.4865,312.671,1,0.6,-2.81
4.8914,401.882,4,0.2,-0.77
2.016,388.286,5,0.2,-1.88
1.3195,411.351,4,0.8,-5.33
4.0536,283.104,1,0.2,-5.11
3.4642,113.146,6,0.8,-3.43
2.7419,352.021,3,0.0,-4.83
2.9991,329.213,7,0.0,-5.83
3.7364,384.014,6,0.8,-1.17
1.528,126.446,6,0.6,-5.88
4.9835,137.739,8,0.2,-1.02
4.8866,450.684,0,0.6,-5.14
3.4265,387.49,9,0.6,-0.15
1.3979,458.703,5,0.4,-2.38
3.561,391.422,5,0.0,-1.59
0.8249,318.72,5,0.8,-5.34
0.6379,344.36,5,0.8,-0.83
1.6596,450.108,9,0.0,-0.96
2.5818,310.463,6,0.8,-2.08
4.4072,334.576,9,0.8,-2.99
3.7723,120.415,5,0.4,-1.67
3.8422,263.265,0,0.6,-5.96
2.4147,372.379,2,0.2,-2.45
2.0567,171.924,1,0.2,-0.92
2.1697,141.014,5,0.6,-3.86
4.9444,191.222,7,0.8,-5.35
0.6805,158.675,2,0.6,-3.47
4.4016,146.711,9,0.4,-1.64
3.104,241.183,7,0.0,-5.36
2.4738,458.527,7,0.0,-4.76
3.7637,278.177,4,0.4,-5.11
2.69,134.564,7,0.0,-1.22
4.4304,84.637,5,0.4,-5.62
4.5532,363.27,4,0.2,-1.88
2.3977,222.259,8,0.6,-3.8
1.7457,419.824,6,0.2,-1.47
3.1656,346.78,7,0.4,-0.21
4.6056,408.309,0,0.4,-5.31
1.448,172.376,1,0.0,-4.11
3.3033,361.562,7,0.0,-1.14
3.342,168.828,8,0.2,-4.4
3.799,472.581,3,0.8,-4.71
1.0921,336.368,9,0.0,-1.05
3.7212,196.03,9,0.6,-0.08
4.5906,171.28,8,0.8,-2.66
1.3086,135.917,3,0.6,-4.33
1.5689,362.588,9,0.2,-3.61
4.8713,148.422,9,0.8,-4.98
1.3144,317.886,9,0.0,-1.43
4.3447,169.086,8,0.4,-1.36
2.7153,347.886,6,0.8,-0.75
1.6125,416.723,1,0.6,-5.84
4.4184,400.111,8,0.4,-2.63
2.5039,392.383,3,0.2,-4.71
2.8167,134.475,7,0.2,-3.95
2.1166,89.773,6,0.4,-1.29
3.1683,364.527,6,0.2,-4.85
1.2359,215.756,7,0.8,-2.17
2.2599,244.556,0,0.8,-2.07
4.8624,64.017,4,0.8,-0.28
1.6616,166.809,1,0.4,-1.35
3.4553,65.154,1,0.6,-1.18
1.9634,445.634,0,0.8,-2.81
3.9806,159.529,4,0.8,-4.88
1.0889,300.802,1,0.4,-3.45
4.8642,67.541,3,0.0,-2.7
2.5421,350.081,2,0.0,-1.93
1.5622,195.362,2,0.4,-2.35
0.8307,454.064,1,0.6,-3.64
1.2639,449.653,5,0.8,-4.41
2.839,196.381,1,0.2,-4.99
2.0165,455.432,7,0.0,-1.84
4.23,498.271,7,0.2,-2.13
2.439,421.437,4,0.2,-1.88
1.6192,430.192,9,0.0,-3.76
3.2772,162.054,6,0.6,-4.43
3.6805,309.516,3,0.4,-1.44
1.2517,80.265,0,0.6,-1.36
